onset	duration	trial_type	value	sample
37.638	0.0	0	1	37638
38.512	0.0	0	1	38512
39.374	0.0	0	1	39374
40.391	0.0	0	1	40391
41.427	0.0	0	1	41427
42.58	0.0	0	1	42580
43.459	0.0	0	1	43459
44.499	0.0	0	1	44499
45.455	0.0	0	1	45455
46.388	0.0	0	1	46388
47.442	0.0	0	1	47442
48.59	0.0	0	1	48590
49.708	0.0	0	1	49708
50.668	0.0	0	1	50668
51.742	0.0	0	1	51742
52.798	0.0	0	1	52798
53.672	0.0	0	1	53672
54.542	0.0	0	1	54542
55.49	0.0	0	1	55490
56.505	0.0	0	1	56505
57.512	0.0	0	1	57512
58.493	0.0	0	1	58493
59.504	0.0	0	1	59504
60.462	0.0	0	1	60462
61.378	0.0	0	1	61378
62.309	0.0	0	1	62309
63.215	0.0	0	1	63215
64.062	0.0	0	1	64062
65.111	0.0	0	1	65111
65.924	0.0	0	1	65924
66.928	0.0	0	1	66928
67.796	0.0	0	1	67796
68.664	0.0	0	1	68664
69.553	0.0	0	1	69553
70.533	0.0	0	1	70533
71.366	0.0	0	1	71366
72.652	0.0	0	1	72652
73.662	0.0	0	1	73662
74.638	0.0	0	1	74638
75.699	0.0	0	1	75699
