onset	duration	trial_type	value	sample
47.485	0.0	0	1	47485
48.825	0.0	0	1	48825
49.853	0.0	0	1	49853
50.964	0.0	0	1	50964
52.048	0.0	0	1	52048
53.263	0.0	0	1	53263
54.326	0.0	0	1	54326
55.43	0.0	0	1	55430
56.68	0.0	0	1	56680
57.729	0.0	0	1	57729
58.938	0.0	0	1	58938
59.979	0.0	0	1	59979
61.133	0.0	0	1	61133
62.369	0.0	0	1	62369
63.355	0.0	0	1	63355
64.397	0.0	0	1	64397
65.501	0.0	0	1	65501
66.745	0.0	0	1	66745
67.71	0.0	0	1	67710
68.926	0.0	0	1	68926
70.155	0.0	0	1	70155
71.475	0.0	0	1	71475
72.524	0.0	0	1	72524
73.538	0.0	0	1	73538
74.732	0.0	0	1	74732
75.705	0.0	0	1	75705
76.865	0.0	0	1	76865
78.073	0.0	0	1	78073
79.108	0.0	0	1	79108
80.226	0.0	0	1	80226
81.36	0.0	0	1	81360
82.366	0.0	0	1	82366
83.498	0.0	0	1	83498
84.616	0.0	0	1	84616
85.867	0.0	0	1	85867
86.957	0.0	0	1	86957
88.124	0.0	0	1	88124
89.235	0.0	0	1	89235
90.18	0.0	0	1	90180
91.215	0.0	0	1	91215
