onset	duration	trial_type	value	sample
43.773	0.0	0	1	43773
44.904	0.0	0	1	44904
45.816	0.0	0	1	45816
46.654	0.0	0	1	46654
47.518	0.0	0	1	47518
48.592	0.0	0	1	48592
49.545	0.0	0	1	49545
50.46	0.0	0	1	50460
51.358	0.0	0	1	51358
52.475	0.0	0	1	52475
53.463	0.0	0	1	53463
54.669	0.0	0	1	54669
55.711	0.0	0	1	55711
56.635	0.0	0	1	56635
57.767	0.0	0	1	57767
58.761	0.0	0	1	58761
59.81	0.0	0	1	59810
60.949	0.0	0	1	60949
61.998	0.0	0	1	61998
63.081	0.0	0	1	63081
64.081	0.0	0	1	64081
65.076	0.0	0	1	65076
66.096	0.0	0	1	66096
67.137	0.0	0	1	67137
68.165	0.0	0	1	68165
69.084	0.0	0	1	69084
69.993	0.0	0	1	69993
70.987	0.0	0	1	70987
71.992	0.0	0	1	71992
73.055	0.0	0	1	73055
74.167	0.0	0	1	74167
75.147	0.0	0	1	75147
76.063	0.0	0	1	76063
77.035	0.0	0	1	77035
78.049	0.0	0	1	78049
79.112	0.0	0	1	79112
80.195	0.0	0	1	80195
80.869	0.0	0	1	80869
81.786	0.0	0	1	81786
82.953	0.0	0	1	82953
