onset	duration	trial_type	value	sample
46.215	0.0	0	1	46215
47.263	0.0	0	1	47263
48.242	0.0	0	1	48242
49.145	0.0	0	1	49145
50.237	0.0	0	1	50237
51.368	0.0	0	1	51368
52.632	0.0	0	1	52632
53.556	0.0	0	1	53556
54.688	0.0	0	1	54688
55.758	0.0	0	1	55758
56.716	0.0	0	1	56716
57.647	0.0	0	1	57647
58.745	0.0	0	1	58745
59.863	0.0	0	1	59863
60.779	0.0	0	1	60779
61.933	0.0	0	1	61933
62.974	0.0	0	1	62974
63.891	0.0	0	1	63891
64.815	0.0	0	1	64815
65.928	0.0	0	1	65928
66.996	0.0	0	1	66996
67.878	0.0	0	1	67878
68.802	0.0	0	1	68802
69.831	0.0	0	1	69831
70.892	0.0	0	1	70892
71.88	0.0	0	1	71880
73.137	0.0	0	1	73137
74.205	0.0	0	1	74205
75.463	0.0	0	1	75463
76.465	0.0	0	1	76465
77.588	0.0	0	1	77588
78.72	0.0	0	1	78720
79.901	0.0	0	1	79901
80.818	0.0	0	1	80818
81.917	0.0	0	1	81917
82.881	0.0	0	1	82881
83.833	0.0	0	1	83833
85.008	0.0	0	1	85008
85.937	0.0	0	1	85937
86.965	0.0	0	1	86965
