onset	duration	trial_type	value	sample
46.444	0.0	0	1	46444
47.556	0.0	0	1	47556
48.783	0.0	0	1	48783
49.935	0.0	0	1	49935
51.047	0.0	0	1	51047
52.126	0.0	0	1	52126
53.209	0.0	0	1	53209
54.258	0.0	0	1	54258
55.458	0.0	0	1	55458
56.541	0.0	0	1	56541
57.499	0.0	0	1	57499
58.493	0.0	0	1	58493
59.694	0.0	0	1	59694
60.993	0.0	0	1	60993
62.119	0.0	0	1	62119
63.093	0.0	0	1	63093
64.126	0.0	0	1	64126
65.168	0.0	0	1	65168
66.202	0.0	0	1	66202
67.127	0.0	0	1	67127
68.314	0.0	0	1	68314
69.266	0.0	0	1	69266
70.275	0.0	0	1	70275
71.336	0.0	0	1	71336
72.329	0.0	0	1	72329
73.266	0.0	0	1	73266
74.464	0.0	0	1	74464
75.552	0.0	0	1	75552
76.823	0.0	0	1	76823
78.156	0.0	0	1	78156
79.094	0.0	0	1	79094
80.275	0.0	0	1	80275
81.298	0.0	0	1	81298
82.269	0.0	0	1	82269
83.269	0.0	0	1	83269
84.373	0.0	0	1	84373
85.297	0.0	0	1	85297
86.262	0.0	0	1	86262
87.276	0.0	0	1	87276
88.312	0.0	0	1	88312
